experimento,problema,run,generacion,best_fitness,rendimiento,riesgo
1,P1,1,0,-0.63562445,0.635624,0.041462
1,P1,1,50,-0.6742323,0.674232,0.044344
1,P1,1,100,-0.67465989,0.67466,0.044517
1,P1,1,150,-0.67471041,0.67471,0.044526
1,P1,1,200,-0.67817743,0.678177,0.044411
1,P1,1,250,-0.67865285,0.678653,0.044513
1,P1,1,300,-0.68086618,0.680866,0.043121
1,P1,1,350,-0.68128566,0.681286,0.043286
1,P1,1,400,-0.68128566,0.681286,0.043286
1,P1,1,450,-0.68152009,0.68152,0.043378
1,P1,1,499,-0.68176754,0.681768,0.043386
2,P2,1,0,0.00303755,0.371495,0.003038
2,P2,1,50,0.00136158,0.359935,0.001362
2,P2,1,100,0.00136026,0.359228,0.00136
2,P2,1,150,0.0013602,0.359205,0.00136
2,P2,1,200,0.00136019,0.35921,0.00136
2,P2,1,250,0.00136019,0.359205,0.00136
2,P2,1,300,0.00136019,0.359205,0.00136
2,P2,1,350,0.00136019,0.359212,0.00136
2,P2,1,400,0.00136019,0.359206,0.00136
2,P2,1,450,0.00136019,0.359205,0.00136
2,P2,1,499,0.00136019,0.359204,0.00136
3,P3,1,0,-0.20911102,0.366294,0.002002
3,P3,1,50,-0.38996276,0.389963,0.002
3,P3,1,100,-0.38996276,0.389963,0.002
3,P3,1,150,-0.38996276,0.389963,0.002
3,P3,1,200,-0.38998435,0.389984,0.002
3,P3,1,250,-0.38998435,0.389984,0.002
3,P3,1,300,-0.38998435,0.389984,0.002
3,P3,1,350,-0.38998435,0.389984,0.002
3,P3,1,400,-0.39001829,0.390018,0.002
3,P3,1,450,-0.39001829,0.390018,0.002
3,P3,1,499,-0.39006137,0.390061,0.002
