experimento,problema,run,tam_poblacion,n_generaciones,nc,nm,prob_cruce,prob_mutacion,torneo,penalizacion,BB,LOP,ILI,HEAL,QUI,AUA,rendimiento,riesgo,fitness,err_rendimiento,err_riesgo,tiempo_seg
1,P1,1,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.161633,0.399471,0.368212,0.056871,0.013812,0.681768,0.043386,-0.681768,0.010232,0.002094,0
1,P1,2,200,500,15,20,0.9,0.05,3,100000.0,9.8e-05,0.025033,0.398812,0.398342,0.177687,2.8e-05,0.690261,0.044062,-0.690261,0.001739,0.001418,0
1,P1,3,200,500,15,20,0.9,0.05,3,100000.0,3e-06,0.02228,0.399985,0.361662,0.214462,0.001608,0.689309,0.045046,-0.689309,0.002691,0.000434,0
1,P1,4,200,500,15,20,0.9,0.05,3,100000.0,0.001922,0.235566,0.399991,0.341352,0.014959,0.006211,0.678733,0.048069,-0.678733,0.013267,0.002589,0
1,P1,5,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.161943,0.399995,0.399951,0.03811,0.0,0.685518,0.043037,-0.685518,0.006482,0.002443,0
1,P1,6,200,500,15,20,0.9,0.05,3,100000.0,0.000159,0.003602,0.399987,0.35404,0.217926,0.024286,0.686083,0.044717,-0.686083,0.005917,0.000763,0
1,P1,7,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.083053,0.399854,0.248325,0.268767,0.0,0.682532,0.047391,-0.682532,0.009468,0.001911,0
1,P1,8,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.048897,0.399995,0.27021,0.280603,0.000295,0.684803,0.047178,-0.684803,0.007197,0.001698,0
1,P1,9,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.094238,0.399732,0.337613,0.167713,0.000704,0.685477,0.043826,-0.685477,0.006523,0.001654,0
1,P1,10,200,500,15,20,0.9,0.05,3,100000.0,0.000217,0.133595,0.399999,0.399868,0.066034,0.000287,0.686548,0.04245,-0.686548,0.005452,0.00303,0
1,P1,11,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.056748,0.399992,0.314998,0.226566,0.001697,0.686054,0.045184,-0.686054,0.005946,0.000296,0
1,P1,12,200,500,15,20,0.9,0.05,3,100000.0,0.000924,0.011577,0.399999,0.399961,0.187382,0.000157,0.691269,0.04478,-0.691269,0.000731,0.0007,0
1,P1,13,200,500,15,20,0.9,0.05,3,100000.0,7e-06,0.051611,0.399991,0.399327,0.145426,0.003638,0.68932,0.043001,-0.68932,0.00268,0.002479,0
1,P1,14,200,500,15,20,0.9,0.05,3,100000.0,1e-05,0.017301,0.399525,0.399604,0.170606,0.012955,0.68896,0.043663,-0.68896,0.00304,0.001817,0
1,P1,15,200,500,15,20,0.9,0.05,3,100000.0,0.000712,0.174816,0.399983,0.304331,0.120022,0.000137,0.680964,0.046138,-0.680964,0.011036,0.000658,0
1,P1,16,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.067738,0.399725,0.340769,0.189008,0.00276,0.686331,0.044013,-0.686331,0.005669,0.001467,0
1,P1,17,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.021249,0.399969,0.383515,0.172329,0.022938,0.686804,0.043294,-0.686804,0.005196,0.002186,0
1,P1,18,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.043354,0.399965,0.354273,0.202409,0.0,0.688418,0.04449,-0.688418,0.003582,0.00099,0
1,P1,19,200,500,15,20,0.9,0.05,3,100000.0,9.8e-05,0.135245,0.397797,0.320627,0.143651,0.002583,0.681787,0.044094,-0.681787,0.010213,0.001386,0
1,P1,20,200,500,15,20,0.9,0.05,3,100000.0,0.000249,0.107052,0.399876,0.261038,0.229834,0.00195,0.681716,0.046602,-0.681716,0.010284,0.001122,0
1,P1,21,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.034495,0.399992,0.348629,0.205779,0.011105,0.686784,0.044339,-0.686784,0.005216,0.001141,0
1,P1,22,200,500,15,20,0.9,0.05,3,100000.0,0.000135,0.154437,0.399593,0.250826,0.184891,0.010117,0.677982,0.047518,-0.677982,0.014018,0.002038,0
1,P1,23,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.087499,0.399989,0.349098,0.163414,0.0,0.686458,0.043626,-0.686458,0.005542,0.001854,0
1,P1,24,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.021954,0.399997,0.399774,0.178274,1e-06,0.691111,0.044338,-0.691111,0.000889,0.001142,0
1,P1,25,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.046441,0.4,0.320078,0.232974,0.000507,0.686864,0.045381,-0.686864,0.005136,9.9e-05,0
1,P1,26,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.029466,0.399991,0.32505,0.233389,0.012103,0.685882,0.045183,-0.685882,0.006118,0.000297,0
1,P1,27,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.148839,0.399993,0.347303,0.103863,2e-06,0.683934,0.043993,-0.683934,0.008066,0.001487,0
1,P1,28,200,500,15,20,0.9,0.05,3,100000.0,0.002807,0.042248,0.39996,0.381902,0.170743,0.00234,0.68846,0.043588,-0.68846,0.00354,0.001892,0
1,P1,29,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.064757,0.399995,0.286612,0.248636,0.0,0.684871,0.046106,-0.684871,0.007129,0.000626,0
1,P1,30,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.078927,0.399999,0.393268,0.125795,0.002012,0.688251,0.042588,-0.688251,0.003749,0.002892,0
