experimento,problema,tam_poblacion,n_generaciones,nc,nm,prob_cruce,prob_mutacion,torneo,penalizacion,n_runs,mejor_rendimiento,mejor_riesgo,mejor_fitness,media_rendimiento,std_rendimiento,media_riesgo,std_riesgo,media_fitness,std_fitness,err_medio_rendimiento,err_medio_riesgo,tiempo_total_seg
1,P1,200,500,15,20,0.9,0.05,3,100000.0,30,0.691269,0.04478,-0.691269,0.685775,0.003351,0.044703,0.001489,-0.685775,0.003351,0.006225,0.001487,136.26
2,P2,200,500,15,20,0.9,0.05,3,100000.0,30,0.359202,0.00136,0.00136,0.359203,3e-06,0.00136,0.0,0.00136,0.0,0.000203,0.0,186.32
3,P3,200,500,15,20,0.9,0.05,3,100000.0,30,0.390189,0.002,-0.390189,0.389968,0.000187,0.002,1e-06,-0.389968,0.000187,nan,0.0,159.46
4,P1,100,500,15,20,0.9,0.05,3,100000.0,15,0.691672,0.045066,-0.691672,0.686906,0.002847,0.044342,0.002325,-0.686906,0.002847,0.005094,0.002358,38.53
5,P2,100,500,15,20,0.9,0.05,3,100000.0,15,0.359203,0.00136,0.00136,0.359205,4e-06,0.00136,0.0,0.00136,0.0,0.000205,0.0,46.32
6,P3,100,500,15,20,0.9,0.05,3,100000.0,15,0.390183,0.002,-0.390183,0.389804,0.000379,0.002,0.0,-0.389804,0.000379,nan,0.0,45.67
7,P1,200,500,15,20,0.9,0.05,3,100000.0,15,0.689705,0.043437,-0.689705,0.683581,0.003656,0.045637,0.002157,-0.683581,0.003656,0.008419,0.001629,66.75
8,P2,200,500,15,20,0.9,0.05,3,100000.0,15,0.359205,0.00136,0.00136,0.359203,3e-06,0.00136,0.0,0.00136,0.0,0.000203,0.0,93.7
9,P3,200,500,15,20,0.9,0.05,3,100000.0,15,0.390196,0.002,-0.390196,0.38999,0.000144,0.002,0.0,-0.38999,0.000144,nan,0.0,81.43
10,P1,400,500,15,20,0.9,0.05,3,100000.0,15,0.690638,0.044478,-0.690638,0.685465,0.002966,0.044289,0.001157,-0.685465,0.002966,0.006535,0.001495,130.27
11,P2,400,500,15,20,0.9,0.05,3,100000.0,15,0.359201,0.00136,0.00136,0.359201,1e-06,0.00136,0.0,0.00136,0.0,0.000201,0.0,185.76
12,P3,400,500,15,20,0.9,0.05,3,100000.0,15,0.390205,0.002,-0.390205,0.390084,8.9e-05,0.002,0.0,-0.390084,8.9e-05,nan,0.0,160.05
13,P1,200,300,15,20,0.9,0.05,3,100000.0,15,0.691472,0.045061,-0.691472,0.685638,0.003339,0.044734,0.00133,-0.685638,0.003339,0.006362,0.001194,42.8
