Prueba, Mejor BB, Mejor LOP, Mejor ILI, Mejor HEAL, Mejor QUI, Mejor AUA, Mejor Rendimiento, Mejor Riesgo, Mejor Aptitud, Peor BB, Peor LOP, Peor ILI, Peor HEAL, Peor QUI, Peor AUA, Peor Rendimiento, Peor Riesgo, Peor Aptitud, Mediana, Desviacion Estandar
0, 0.013701, 0.028621, 0.396703, 0.384948, 0.170450, 0.005576, 0.684018, 0.042843, -0.684018, 0.171601, 0.093817, 0.400602, 0.375153, 0.170065, 0.174561, 0.792500, 0.044432, 38639.335875, -0.504370, 4573.102224
1, 0.002314, 0.108716, 0.391419, 0.317077, 0.177119, 0.003355, 0.678562, 0.042792, -0.678562, 0.006983, 0.093688, 0.205779, 0.182069, 0.103132, 0.002879, 0.385864, 0.012487, 40546.631804, -0.501160, 11833.652416
2, 0.011157, 0.059770, 0.399126, 0.355602, 0.156687, 0.017657, 0.681635, 0.042533, -0.681635, 0.012995, 0.059533, 0.221898, 0.177081, 0.148075, 0.007653, 0.408451, 0.014546, 37276.145108, -0.515299, 8034.526256
3, 0.000439, 0.013053, 0.399823, 0.290905, 0.289105, 0.006675, 0.685836, 0.047354, -0.685836, 0.162951, 0.134677, 0.405826, 0.281246, 0.291398, 0.137583, 0.810922, 0.051262, 41950.037555, -0.538168, 8008.536196
4, 0.009802, 0.138124, 0.398757, 0.208591, 0.236346, 0.008379, 0.674258, 0.048898, -0.674258, 0.152879, 0.180485, 0.400819, 0.209281, 0.236930, 0.146302, 0.764718, 0.055161, 32750.764345, -0.521212, 6123.778881
5, 0.000099, 0.104498, 0.392836, 0.339596, 0.150930, 0.012041, 0.679583, 0.042110, -0.679583, 0.004506, 0.104487, 0.253747, 0.188380, 0.148895, 0.016972, 0.466305, 0.019341, 28300.902187, -0.530452, 5191.788005
6, 0.016290, 0.177609, 0.396338, 0.278283, 0.104796, 0.026684, 0.669544, 0.046226, -0.669544, 0.153624, 0.178530, 0.403101, 0.275259, 0.104448, 0.144825, 0.737932, 0.051676, 26288.225256, -0.540907, 7134.001502
7, 0.002479, 0.241646, 0.399322, 0.283536, 0.071694, 0.001323, 0.676453, 0.050401, -0.676453, 0.144338, 0.243674, 0.401620, 0.284310, 0.136499, 0.182400, 0.792495, 0.055933, 39445.354330, -0.523617, 7106.786710
8, 0.008529, 0.012309, 0.396826, 0.219662, 0.354999, 0.007675, 0.679135, 0.049558, -0.679135, 0.004306, 0.010845, 0.264238, 0.109659, 0.192390, 0.009103, 0.415714, 0.021004, 40945.457982, -0.547007, 7297.948914
9, 0.006078, 0.001028, 0.398784, 0.299965, 0.291367, 0.002779, 0.685276, 0.047394, -0.685276, 0.004096, 0.000499, 0.328335, 0.223925, 0.144637, 0.000879, 0.508123, 0.028684, 29762.356998, -0.604455, 9419.011488
