origin,destination,departure_abs,arrival_abs,arrival_local,modal,duration_h
Madrid,Lisboa,11.0,13.64,13.64,train,2.64
Lisboa,París,21.64,39.95,16.95,car,18.31
París,Bruselas,49.95,56.0,9.0,car,6.05
Bruselas,Amsterdam,63.0,64.14,17.14,train,1.14
Amsterdam,Frankfurt,72.14,80.0,9.0,car,7.86
Frankfurt,Berlín,87.0,89.28,18.28,train,2.28
Berlín,Praga,101.0,104.0,9.0,train,3.0
Praga,Budapest,114.5,116.87,21.87,train,2.37
Budapest,Viena,124.87,128.0,9.0,car,3.13
Viena,Múnich,138.5,140.27,21.27,train,1.77
Múnich,Zúrich,149.0,152.0,9.0,train,3.0
Zúrich,Milán,159.0,160.34,17.34,train,1.34
Milán,Roma,166.34,175.0,8.0,car,8.66
Roma,Barcelona,185.0,200.0,9.0,car,15.0
Barcelona,Madrid,210.5,212.87,21.87,train,2.37
