Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0.0000000,0.0000049,0.9950156,0.9949597,0.0000049,0.9950156,0.9949597,0.9949597,0.0000000,0.0100000,0.1000000
1.0000000,-0.0000049,-0.0000049,0.0000000,-0.0000049,-0.0012549,0.0003124,0.0000000,0.0000311,0.0500000,0.2000000
2.0000000,0.0000049,0.0000049,0.0000000,0.6400055,0.0000049,16.7835810,0.0000000,1.6698403,0.1000000,0.3000000
3.0000000,0.0000049,-0.0000049,0.0000000,-5.1200000,-0.0000049,28.9247137,0.0000000,4.0690976,0.2000000,0.4000000
4.0000000,-0.0000049,-0.0000049,0.0000000,-0.0000049,5.1200000,28.9247137,0.0000000,4.5564875,0.3000000,0.5000000
5.0000000,0.0000049,1.0000058,1.0000117,0.0000049,3.5600083,31.9712323,1.0000117,6.1030305,0.4000000,0.6000000
6.0000000,0.0000049,0.0000049,0.0000000,-5.1200000,0.0000049,28.9247137,0.0000065,7.9415017,0.5000000,0.7000000
7.0000000,-0.0000049,-0.0000049,0.0000000,5.1200000,-0.0003369,28.9247362,0.0003124,8.6254751,0.6000000,0.8000000
8.0000000,0.0000049,0.0000049,0.0000000,-5.1200000,0.0000146,28.9247138,0.0001968,8.2674352,0.7000000,0.9000000
9.0000000,-0.0000049,-0.0000049,0.0000000,5.1199609,-0.0000049,28.9226338,0.0012594,9.5408440,0.8000000,1.0000000
