Fecha, Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
2026-04-12_19-45-12, 0, 6.549422548658038, 0.27362544672789507, -4.069177509879051, 6.549422548658038, 0.27362544672789507, -4.069177509879051, -4.069177509879051, 0.0, 0.01, 0.1
2026-04-12_19-45-12, 1, 7.163341057923717, 0.3294702874595869, -4.069200766901908, 8.355957430235614, 0.3003797446946845, -4.06240873894232, -4.069200766901908, 0.0009513017610759807, 0.05, 0.2
2026-04-12_19-45-12, 2, 4.745196512995509, 0.2888596123468734, -4.06937429683535, 5.1755182782744225, 0.33000003236277997, -4.063694387489788, -4.06937429683535, 0.00131678257193023, 0.1, 0.3
2026-04-12_19-45-12, 3, 4.618516682487817, 0.2749170158774348, -4.069349017847007, 5.39083230971755, 0.13557085562502486, -3.9768332491833647, -4.069349017847007, 0.012955615134317849, 0.2, 0.4
2026-04-12_19-45-12, 4, 4.416339453793169, 0.28316931436979603, -4.069372310580715, 2.4711298589784008, 0.3603607337205745, -3.562403373126925, -4.069365832345921, 0.07867902288097772, 0.3, 0.5
2026-04-12_19-45-12, 5, 5.040069209159282, 0.34253027035569533, -4.0694027088350575, 4.144173598843237, 0.20457431876549365, -3.893947333447288, -4.06905633154617, 0.024476837932054563, 0.4, 0.6
2026-04-12_19-45-12, 6, 4.718154006729363, 0.28597781127993305, -4.069369689367685, 4.285061977464391, 0.20987635315761893, -3.9747476581471872, -4.068868583445093, 0.014660739082730995, 0.5, 0.7
2026-04-12_19-45-12, 7, 4.322909898210743, 0.31517578499912696, -4.069387509707886, 2.106795024916434, 0.26055811705154774, -3.642854711329256, -4.068209133230207, 0.07444808910267463, 0.6, 0.8
2026-04-12_19-45-12, 8, 4.744352258388452, 0.2891749715999931, -4.069369689367685, 2.8657289553788097, 0.07114838038384913, -3.707892273043715, -4.0687088070220785, 0.06591378956290261, 0.7, 0.9
2026-04-12_19-45-12, 9, 5.107629673106412, 0.3387555202843697, -4.069384517611966, 6.786342575251867, 0.09463043431222859, -3.7859573946757896, -4.06887330284197, 0.04337556027228281, 0.8, 1.0
