Fecha,Prueba,Mejor X,Mejor Y,Mejor solucion,Peor X,Peor Y,Peor Solucion,Mediana,Desviacion estandar,Probabilidad de mutacion,Probabilidad de cruce
2026-04-12_22-11-02,0,4.626005310858626,0.18764160644578798,-5.29261234094718,4.665724930834487,0.050321511852499445,-5.2603656469175935,-5.29261234094718,0.004512899306869952,0.01,0.1
2026-04-12_22-11-02,1,4.589493038078248,0.24539082693718473,-5.29284657300791,4.80130383764812,0.34921352851949006,-5.21842993967466,-5.29284657300791,0.010418328666655013,0.05,0.2
2026-04-12_22-11-02,2,4.849140067732199,0.2922026287839235,-5.293019831309433,2.9461674150269017,0.25209349951446225,-4.929813809076559,-5.293007846698897,0.06820422231855118,0.1,0.3
2026-04-12_22-11-02,3,4.41886591473722,0.2737818956470505,-5.293132820126243,3.56904980295761,0.2594002062841886,-5.199160652975794,-5.293132820126243,0.018541064801576676,0.2,0.4
2026-04-12_22-11-02,4,4.417311895769425,0.27349150906335623,-5.293148122681716,3.225601120076302,0.3055797913602447,-4.878559716397026,-5.293148122681716,0.0627733475490628,0.3,0.5
2026-04-12_22-11-02,5,4.367549606650377,0.28698463518327016,-5.293143071531676,3.450528954194843,0.33621361789196,-5.0761929125644105,-5.291909502310811,0.046178672951402676,0.4,0.6
2026-04-12_22-11-02,6,4.22760308951523,0.2613521873438821,-5.293052674901622,3.6742624880822863,0.2995020745870114,-5.0687516114755,-5.291737559618399,0.0454322505829919,0.5,0.7
2026-04-12_22-11-02,7,4.379548183687982,0.24318267319337752,-5.292966124132627,3.7920296144267205,0.28545846864183033,-5.147293053737973,-5.292251853900954,0.02586295411166855,0.6,0.8
2026-04-12_22-11-02,8,4.197143141367684,0.23739028548913926,-5.293073831599138,3.1226698341329158,0.1623676876073117,-4.960894065325705,-5.29140388204824,0.0747435338767809,0.7,0.9
2026-04-12_22-11-02,9,4.353225950086084,0.26427097609388706,-5.293143353362738,3.9143617350961852,0.3373955227661263,-5.21785229628401,-5.29186356084919,0.019001656903878165,0.8,1.0
