Fecha,Prueba,Mejor X,Mejor Y,Mejor solucion,Peor X,Peor Y,Peor Solucion,Mediana,Desviacion estandar,Probabilidad de mutacion,Probabilidad de cruce
2026-04-13_05-44-58,0,9.994572261793573,0.41201747999967947,-55.85251998901367,9.975351521689243,0.4038212332881282,-55.83149337768555,-55.83149337768555,0.0029437255859375,0.01,0.1
2026-04-13_05-44-58,1,9.993905322336413,0.40601292242948733,-55.923213958740234,9.98840065484229,0.45258888325018404,-54.03812026977539,-55.923213958740234,0.26391311645507814,0.05,0.2
2026-04-13_05-44-58,2,9.995274970359874,0.4076401425987557,-55.917015075683594,9.999981573568668,0.3076352199778234,-48.82430648803711,-55.917015075683594,1.2613286394551615,0.1,0.3
2026-04-13_05-44-58,3,9.999534604656032,0.4020341731331412,-55.937164306640625,9.999902819948664,0.4885637366233014,-50.67383575439453,-55.937164306640625,1.0493731795560517,0.2,0.4
2026-04-13_05-44-58,4,9.996500797438612,0.40599123057276654,-55.9356803894043,9.999494673809386,0.23851615160687417,-37.767822265625,-55.9356803894043,3.5862604471749093,0.3,0.5
2026-04-13_05-44-58,5,9.99942422739113,0.4037745180118181,-55.93760681152344,9.999875951249722,0.2465882624087381,-39.159297943115234,-55.92276382446289,4.10485422295966,0.4,0.6
2026-04-13_05-44-58,6,9.99922888845054,0.40599621979675293,-55.93669128417969,9.999777468211294,0.5457168024823094,-42.65382766723633,-55.892574310302734,2.2187382660602477,0.5,0.7
2026-04-13_05-44-58,7,9.99918163977582,0.40382643984848365,-55.936073303222656,9.99960748093467,0.2150467785699418,-33.698665618896484,-55.54588508605957,3.64364187863061,0.6,0.8
2026-04-13_05-44-58,8,9.999824613341262,0.4036724816642542,-55.93758773803711,9.999623294719829,0.22322277306133376,-35.11290740966797,-55.455291748046875,4.108393589676426,0.7,0.9
2026-04-13_05-44-58,9,9.99985383742073,0.40769306656332815,-55.9411506652832,9.999973149675759,0.12277066991731955,-19.210771560668945,-54.77583122253418,6.236710269847463,0.8,1.0
